id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1489385787049136132,1489385787049136132,1643932217000.0,2022-02-03 15:50:17,-700,,This dude thinks having to request information that is public as “hiding it”  I guess lazy = conspiracy  #FlatEarth,en,['flatearth'],[],586805349,586805349,A_K_A_MagicMan,Naughton Jr. 🇨🇦💙💛🇺🇦,4,15,https://twitter.com/A_K_A_MagicMan/status/1489385787049136132,[],[],0,,False,0,0,0,https://twitter.com/lucashartleyhow/status/1489381061859549189,#flatearth,,,,,,,[],,,,
1489385047299964930,1481044267812405248,1643932041000.0,2022-02-03 15:47:21,-700,,@AstroYogi101 @FatallyWound3d @FTFEofficial @mrjaybeevee @N4chtwind @LogicalReterg @JonathanDavidE7 @qbertblue @AustralisPiper @joroco77 @Lamprey2020 @AenesidemusOZ @damoclesbc2015 @bikinatroll @Captainswoop1 @ftfe @SciManDan @BBC @elonmusk @neiltyson @ericdubay @thefepodcast #FlatEarth #GlobeEarthFail,und,"['flatearth', 'globeearthfail']",[],1382174659823558657,1382174659823558657,FamousRealityTV,Famous Reality TV,4,15,https://twitter.com/FamousRealityTV/status/1489385047299964930,[],[],0,,False,0,1,0,,#flatearth,,,,,,,"[{'screen_name': 'AstroYogi101', 'name': 'Joel Harris', 'id': '4855730507'}, {'screen_name': 'FatallyWound3d', 'name': 'FatallyWound3d', 'id': '753840300'}, {'screen_name': 'FTFEofficial', 'name': 'FTFE (Now FULLY vaccinated)', 'id': '1269199319036559361'}, {'screen_name': 'mrjaybeevee', 'name': 'jaybeevee', 'id': '1444566933492338688'}, {'screen_name': 'n4chtwind', 'name': 'n4chtwind', 'id': '1504330214364614656'}, {'screen_name': 'LogicalReterg', 'name': 'Trent', 'id': '1578644898'}, {'screen_name': 'JonathanDavidE7', 'name': 'Jonathan Evans 🏴\U000e0067\U000e0062\U000e0077\U000e006c\U000e0073\U000e007f 🇺🇦', 'id': '1062194404474191873'}, {'screen_name': 'qbertblue', 'name': 'Bert Rickles', 'id': '720253657766326272'}, {'screen_name': 'AustralisPiper', 'name': 'Piper australis', 'id': '1104935582558412800'}, {'screen_name': 'joroco77', 'name': 'JoRoCo77', 'id': '1020416479974576129'}, {'screen_name': 'Lamprey2020', 'name': 'Lamprey', 'id': '1286347786619949059'}, {'screen_name': 'AenesidemusOZ', 'name': 'Grandalf • Грандальф', 'id': '1098153083421392897'}, {'screen_name': 'damoclesbc2015', 'name': 'DamoclesBC2015', 'id': '3071900212'}, {'screen_name': 'bikinatroll', 'name': 'Bikini Atroll', 'id': '4884933735'}, {'screen_name': 'Captainswoop1', 'name': 'Andrew Ross', 'id': '935079461300719616'}, {'screen_name': 'ftfe', 'name': 'Fredik Bark', 'id': '60847859'}, {'screen_name': 'SciManDan', 'name': 'SciManDan', 'id': '128980388'}, {'screen_name': 'BBC', 'name': 'BBC', 'id': '19701628'}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}, {'screen_name': 'neiltyson', 'name': 'Neil deGrasse Tyson', 'id': '19725644'}, {'screen_name': 'ericdubay', 'name': 'Eric Dubay', 'id': '26709252'}, {'screen_name': 'thefepodcast', 'name': 'FlatEarthDave (DITRH)', 'id': '888799578769805312'}]",,,,
1489382909735747596,1489382909735747596,1643931531000.0,2022-02-03 15:38:51,-700,,Yeah he lost many votes with this disinformation campaign.. Voters in #Hinsdale are very educated and can see through this. Next he might be telling us about the #FlatEarth  Or that Sterigenics was good for us.,en,"['hinsdale', 'flatearth']",[],937035909358333952,937035909358333952,AldermanTomC,Alderman Tom Chlystek,4,15,https://twitter.com/AldermanTomC/status/1489382909735747596,[],[],0,,False,4,1,0,https://twitter.com/MccollumReid/status/1489377709533036544,#flatearth,,,,,,,[],,,,
1489380595864121346,1489380595864121346,1643930980000.0,2022-02-03 15:29:40,-700,, https://t.co/XPbs6Py85U #FlatEarth,und,['flatearth'],[],1275113084,1275113084,IlliteritRasist,Flat Earth Gaming 🇷🇺,4,15,https://twitter.com/IlliteritRasist/status/1489380595864121346,['https://youtu.be/FYufdvKZpHs'],[],0,,False,0,1,0,,#flatearth,,,,,,,[],,,,
1489368696388739076,1485755430131359757,1643928143000.0,2022-02-03 14:42:23,-700,,@RinoaPoison I demand a transvestigation on you. #QAnon #FlatEarth,en,"['qanon', 'flatearth']",[],1275113084,1275113084,IlliteritRasist,Flat Earth Gaming 🇷🇺,4,14,https://twitter.com/IlliteritRasist/status/1489368696388739076,[],[],0,,False,0,1,0,,#flatearth,,,,,,,"[{'screen_name': 'RinoaPoison', 'name': 'RinoaPoison', 'id': '1189899409032712192'}]",,,,
1489364091877666821,1489364091877666821,1643927045000.0,2022-02-03 14:24:05,-700,,#TheEarthIsFlat #SpaceIsFake #FlatEarth,und,"['theearthisflat', 'spaceisfake', 'flatearth']",[],447754324,447754324,The_FEMA_Camper,WordOfMouth,4,14,https://twitter.com/The_FEMA_Camper/status/1489364091877666821,[],[],0,,False,1,1,0,https://twitter.com/faking_space/status/1489358100012404740,#flatearth,,,,,,,[],,,,
1489357838296264705,1489357838296264705,1643925554000.0,2022-02-03 13:59:14,-700,,#TheEarthIsFlat #SpaceIsFake #FlatEarth  https://t.co/RDamiT4WMi,und,"['theearthisflat', 'spaceisfake', 'flatearth']",[],447754324,447754324,The_FEMA_Camper,WordOfMouth,4,13,https://twitter.com/The_FEMA_Camper/status/1489357838296264705,[],['https://pbs.twimg.com/tweet_video_thumb/FKtDC6lXEAUI4pC.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FKtDC6lXEAUI4pC.jpg,False,0,0,0,https://twitter.com/flatearthohio/status/1489277220493398020,#flatearth,,,,,,,[],,,,
1489354842841747465,1489354842841747465,1643924840000.0,2022-02-03 13:47:20,-700,,"*NEW EP!*  This week, Sean takes us through the history of the #FlatEarth #conspiracy, and why it's still prevalent today - even though, y'know, we know the #Earth is round.  Subscribe, rate/review, and enjoy! 💚🖤  #podcast #PodNation #PodernFamily  https://t.co/6iWiGQGKCM",en,"['flatearth', 'conspiracy', 'earth', 'podcast', 'podnation', 'podernfamily']",[],1154054146040967168,1154054146040967168,AintItScary,Ain't It Scary? Podcast,4,13,https://twitter.com/AintItScary/status/1489354842841747465,['https://apple.co/3upiVKo'],[],0,,False,4,0,9,,#flatearth,,,,,,,[],,,,
1489354732208631815,1481044267812405248,1643924813000.0,2022-02-03 13:46:53,-700,,"@FatallyWound3d @FTFEofficial @mrjaybeevee @N4chtwind @LogicalReterg @JonathanDavidE7 @qbertblue @AustralisPiper @joroco77 @Lamprey2020 @AenesidemusOZ @damoclesbc2015 @bikinatroll @Captainswoop1 @ftfe @SciManDan @BBC @elonmusk @neiltyson @ericdubay @thefepodcast That’s right! @FTFEOfficial and @FatallyWound3d just blocked me... Because they lost every challenge and because I refused to argue with their minions! Meaning, #FlatEarth won. 😝😌 #GlobeEarthFail 🎉  https://t.co/HLUa2SCNg2",en,"['flatearth', 'globeearthfail']",[],1382174659823558657,1382174659823558657,FamousRealityTV,Famous Reality TV,4,13,https://twitter.com/FamousRealityTV/status/1489354732208631815,[],['https://pbs.twimg.com/tweet_video_thumb/FKtAO3TXEAASDyd.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FKtAO3TXEAASDyd.jpg,False,0,1,0,,#flatearth,,,,,,,"[{'screen_name': 'FatallyWound3d', 'name': 'FatallyWound3d', 'id': '753840300'}, {'screen_name': 'FTFEofficial', 'name': 'FTFE (Now FULLY vaccinated)', 'id': '1269199319036559361'}, {'screen_name': 'mrjaybeevee', 'name': 'jaybeevee', 'id': '1444566933492338688'}, {'screen_name': 'n4chtwind', 'name': 'n4chtwind', 'id': '1504330214364614656'}, {'screen_name': 'LogicalReterg', 'name': 'Trent', 'id': '1578644898'}, {'screen_name': 'JonathanDavidE7', 'name': 'Jonathan Evans 🏴\U000e0067\U000e0062\U000e0077\U000e006c\U000e0073\U000e007f 🇺🇦', 'id': '1062194404474191873'}, {'screen_name': 'qbertblue', 'name': 'Bert Rickles', 'id': '720253657766326272'}, {'screen_name': 'AustralisPiper', 'name': 'Piper australis', 'id': '1104935582558412800'}, {'screen_name': 'joroco77', 'name': 'JoRoCo77', 'id': '1020416479974576129'}, {'screen_name': 'Lamprey2020', 'name': 'Lamprey', 'id': '1286347786619949059'}, {'screen_name': 'AenesidemusOZ', 'name': 'Grandalf • Грандальф', 'id': '1098153083421392897'}, {'screen_name': 'damoclesbc2015', 'name': 'DamoclesBC2015', 'id': '3071900212'}, {'screen_name': 'bikinatroll', 'name': 'Bikini Atroll', 'id': '4884933735'}, {'screen_name': 'Captainswoop1', 'name': 'Andrew Ross', 'id': '935079461300719616'}, {'screen_name': 'ftfe', 'name': 'Fredik Bark', 'id': '60847859'}, {'screen_name': 'SciManDan', 'name': 'SciManDan', 'id': '128980388'}, {'screen_name': 'BBC', 'name': 'BBC', 'id': '19701628'}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}, {'screen_name': 'neiltyson', 'name': 'Neil deGrasse Tyson', 'id': '19725644'}, {'screen_name': 'ericdubay', 'name': 'Eric Dubay', 'id': '26709252'}, {'screen_name': 'thefepodcast', 'name': 'FlatEarthDave (DITRH)', 'id': '888799578769805312'}]",,,,
1489353537872146432,1481044267812405248,1643924528000.0,2022-02-03 13:42:08,-700,,@FatallyWound3d @FTFEofficial @mrjaybeevee @N4chtwind @LogicalReterg @JonathanDavidE7 @qbertblue @AustralisPiper @joroco77 @Lamprey2020 @AenesidemusOZ @damoclesbc2015 @bikinatroll @Captainswoop1 @ftfe @SciManDan @BBC @elonmusk @neiltyson @ericdubay @thefepodcast #FlatEarth #GlobeEarthFail  https://t.co/EU0n7jWtkp,und,"['flatearth', 'globeearthfail']",[],1382174659823558657,1382174659823558657,FamousRealityTV,Famous Reality TV,4,13,https://twitter.com/FamousRealityTV/status/1489353537872146432,[],['https://pbs.twimg.com/media/FKs_GxeXoAMX5Ln.jpg'],1,https://pbs.twimg.com/media/FKs_GxeXoAMX5Ln.jpg,False,0,2,0,,#flatearth,,,,,,,"[{'screen_name': 'FatallyWound3d', 'name': 'FatallyWound3d', 'id': '753840300'}, {'screen_name': 'FTFEofficial', 'name': 'FTFE (Now FULLY vaccinated)', 'id': '1269199319036559361'}, {'screen_name': 'mrjaybeevee', 'name': 'jaybeevee', 'id': '1444566933492338688'}, {'screen_name': 'n4chtwind', 'name': 'n4chtwind', 'id': '1504330214364614656'}, {'screen_name': 'LogicalReterg', 'name': 'Trent', 'id': '1578644898'}, {'screen_name': 'JonathanDavidE7', 'name': 'Jonathan Evans 🏴\U000e0067\U000e0062\U000e0077\U000e006c\U000e0073\U000e007f 🇺🇦', 'id': '1062194404474191873'}, {'screen_name': 'qbertblue', 'name': 'Bert Rickles', 'id': '720253657766326272'}, {'screen_name': 'AustralisPiper', 'name': 'Piper australis', 'id': '1104935582558412800'}, {'screen_name': 'joroco77', 'name': 'JoRoCo77', 'id': '1020416479974576129'}, {'screen_name': 'Lamprey2020', 'name': 'Lamprey', 'id': '1286347786619949059'}, {'screen_name': 'AenesidemusOZ', 'name': 'Grandalf • Грандальф', 'id': '1098153083421392897'}, {'screen_name': 'damoclesbc2015', 'name': 'DamoclesBC2015', 'id': '3071900212'}, {'screen_name': 'bikinatroll', 'name': 'Bikini Atroll', 'id': '4884933735'}, {'screen_name': 'Captainswoop1', 'name': 'Andrew Ross', 'id': '935079461300719616'}, {'screen_name': 'ftfe', 'name': 'Fredik Bark', 'id': '60847859'}, {'screen_name': 'SciManDan', 'name': 'SciManDan', 'id': '128980388'}, {'screen_name': 'BBC', 'name': 'BBC', 'id': '19701628'}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}, {'screen_name': 'neiltyson', 'name': 'Neil deGrasse Tyson', 'id': '19725644'}, {'screen_name': 'ericdubay', 'name': 'Eric Dubay', 'id': '26709252'}, {'screen_name': 'thefepodcast', 'name': 'FlatEarthDave (DITRH)', 'id': '888799578769805312'}]",,,,
1489350051256315904,1489350051256315904,1643923697000.0,2022-02-03 13:28:17,-700,,#FlatEarth #FlatEarth #FlatEarth #FlatEarth  Dünya küre olsaydı qiden qeri dönerdi,tr,"['flatearth', 'flatearth', 'flatearth', 'flatearth']",[],1026965105534230535,1026965105534230535,oturdiziizle,𝒦𝒶𝓎𝒷𝑒𝒹𝑒𝓃𝓁𝑒𝓇 𝒦𝓊𝓁𝓊𝒷𝓊̈,4,13,https://twitter.com/oturdiziizle/status/1489350051256315904,[],[],0,,False,1,0,0,,#flatearth,,,,,,,[],,,,
